ticket_id,category,summary,owner,status
INC-2336,Support,Support issue #296 impacting region 2,support,mitigated
REQ-2337,App,App issue #297 impacting region 3,engineering,closed
INC-2338,Product,Product issue #298 impacting region 4,product,approved
INC-2339,Sales,Sales issue #299 impacting region 5,sales,triaged
REQ-2340,Payments,Payments issue #300 impacting region 1,finance,open
INC-2341,Auth,Auth issue #301 impacting region 2,it,investigating
INC-2342,HR,HR issue #302 impacting region 3,hr,mitigated
REQ-2343,Infra,Infra issue #303 impacting region 4,platform,closed
INC-2344,Security,Security issue #304 impacting region 5,security,approved
INC-2345,Data,Data issue #305 impacting region 1,data,triaged
REQ-2346,Support,Support issue #306 impacting region 2,support,open
INC-2347,App,App issue #307 impacting region 3,engineering,investigating
INC-2348,Product,Product issue #308 impacting region 4,product,mitigated
REQ-2349,Sales,Sales issue #309 impacting region 5,sales,closed
INC-2350,Payments,Payments issue #310 impacting region 1,finance,approved
INC-2351,Auth,Auth issue #311 impacting region 2,it,triaged
REQ-2352,HR,HR issue #312 impacting region 3,hr,open
INC-2353,Infra,Infra issue #313 impacting region 4,platform,investigating
INC-2354,Security,Security issue #314 impacting region 5,security,mitigated
REQ-2355,Data,Data issue #315 impacting region 1,data,closed
INC-2356,Support,Support issue #316 impacting region 2,support,approved
INC-2357,App,App issue #317 impacting region 3,engineering,triaged
REQ-2358,Product,Product issue #318 impacting region 4,product,open
INC-2359,Sales,Sales issue #319 impacting region 5,sales,investigating
INC-2360,Payments,Payments issue #320 impacting region 1,finance,mitigated
